id,name,split,baseline,git_commit,hit_rate_at_10,mrr,mttc,efficiency,technical_score,buying_hr,browsing_hr,intent_override_hr,boundary_hr,decision,notes
B003A,old_belief_old_response,development,K001C,fdffef2,0.993333,0.738111,2.313333,0.868667,0.891833,0.983871,1.0,1.0,1.0,KEEP,Exact K001C control
B003B,calibrated_belief_old_response,development,K001C,fdffef2,0.993333,0.750444,2.353333,0.864667,0.894733,0.983871,1.0,1.0,1.0,REJECT,Development gain failed holdout
B003B,calibrated_belief_old_response,holdout,K001C,fdffef2,0.96,0.736,2.56,0.844,0.8696,0.944444,1.0,1.0,0.8,REJECT,Score regressed versus K001C control
B003C,calibrated_belief_empirical_spec_response,development,B003B,fdffef2,0.993333,0.733667,2.293333,0.870667,0.8909,0.983871,1.0,1.0,1.0,REJECT,Empirical event approximation regressed development score
C001,global_popularity_cycle,development,E012,5f66f94,0.24,0.059474,9.46,0.154,0.168642,0.258065,0.245902,0.181818,0.2,REJECT,Weak control: global popularity cycling ignores user intent
C002,no_questions,development,E012,5f66f94,0.513333,0.244995,7.006667,0.399333,0.410032,0.596774,0.344262,0.772727,0.4,REJECT,Weak control: E012 retrieval and ranking with clarification disabled
E000,baseline,full,,5f66f94,0.125,0.068034,9.81,0.119,0.10671,0.2375,0.025,0.133333,0.0,KEEP,Official weak BM25 control
E001,cumulative_history,full,E000,5f66f94,0.27,0.151381,8.6,0.24,0.228414,0.35,0.0875,0.566667,0.2,KEEP,Cumulative session history improved all aggregate metrics
E002,override_aware_hard_exclusion,development,E001,5f66f94,0.506667,0.231894,7.326667,0.367333,0.396368,0.596774,0.344262,0.727273,0.4,KEEP,Development split record for current best
E002,override_aware_hard_exclusion,full,E001,5f66f94,0.525,0.216905,7.275,0.3725,0.402072,0.6,0.4,0.7,0.4,KEEP,Current best; override-aware hard exclusion
E002,override_aware_hard_exclusion,holdout,E001,5f66f94,0.58,0.171937,7.12,0.388,0.419181,0.611111,0.578947,0.625,0.4,KEEP,Holdout confirmation for current best
E003,confidence_weighted_constraints,development,E002,5f66f94,0.506667,0.23764,7.013333,0.398667,0.404359,0.596774,0.344262,0.727273,0.4,KEEP,Development improvement confirmed on holdout
E003,confidence_weighted_constraints,full,E002,5f66f94,0.525,0.222748,6.98,0.402,0.409724,0.6,0.4,0.7,0.4,KEEP,Confirmed on development and holdout; new current best
E003,confidence_weighted_constraints,holdout,E002,5f66f94,0.58,0.178071,6.88,0.412,0.425821,0.611111,0.578947,0.625,0.4,KEEP,Holdout confirmed development improvement
E004,simple_candidate_split,development,E003,5f66f94,0.9,0.516209,4.866667,0.613333,0.727529,0.83871,0.934426,1.0,0.8,KEEP,Development baseline refreshed with question-outcome diagnostics
E004,simple_candidate_split,full,E003,5f66f94,0.905,0.512565,4.785,0.6215,0.730569,0.8375,0.95,1.0,0.8,KEEP,Confirmed on holdout; new current best
E004,simple_candidate_split,holdout,E003,5f66f94,0.92,0.501635,4.54,0.646,0.739691,0.833333,1.0,1.0,0.8,KEEP,Holdout confirmed V1 split policy
E005,unweighted_entropy,development,E004,5f66f94,0.893333,0.501735,4.92,0.608,0.718787,0.83871,0.934426,0.954545,0.8,REJECT,Regressed against simpler split policy
E006,probability_weighted_entropy,development,E005,5f66f94,0.9,0.512984,4.933333,0.606667,0.725229,0.83871,0.934426,1.0,0.8,REJECT,Beat E005 but did not beat current-best E004
E007,expected_competition_value,development,E006,5f66f94,0.893333,0.495193,4.953333,0.604667,0.716158,0.83871,0.934426,0.954545,0.8,REJECT,Expected-value proxy regressed against E006 and E004
E008,probability_weighted_split,development,E004,5f66f94,0.893333,0.51382,4.913333,0.608667,0.722546,0.83871,0.934426,0.954545,0.8,REJECT,Weighted split regressed against E004
E009,expected_elimination,development,E004,5f66f94,0.893333,0.515606,4.913333,0.608667,0.723082,0.83871,0.934426,0.954545,0.8,REJECT,Expected elimination regressed against E004
E010,answerability_adjusted_split,development,E004,5f66f94,0.913333,0.544251,3.526667,0.747333,0.769408,0.870968,0.95082,0.954545,0.8,KEEP,Frozen E010 verified after diagnostics-only infrastructure
E010,answerability_adjusted_split,full,E004,5f66f94,0.92,0.542242,3.46,0.754,0.773473,0.875,0.9625,0.966667,0.8,KEEP,Confirmed on holdout; new current best
E010,answerability_adjusted_split,holdout,E004,5f66f94,0.94,0.536214,3.26,0.774,0.785664,0.888889,1.0,1.0,0.8,KEEP,Holdout confirmed answerability-adjusted split
E011,confidence_aware_question_gating,development,E004,5f66f94,0.826667,0.48523,5.22,0.578,0.674503,0.741935,0.901639,0.863636,0.8,REJECT,Minimum-score gating retained high-score low-answerability questions
E012,constraint_strength_representation,development,E010,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Valid three-level constraint-strength development evaluation
E012,constraint_strength_representation,development,E010,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,KEEP,Development gain confirmed on holdout
E012,constraint_strength_representation,full,E010,5f66f94,0.925,0.552321,3.46,0.754,0.778996,0.875,0.9625,1.0,0.8,KEEP,Confirmed on holdout; accepted state representation
E012,constraint_strength_representation,full,E010,5f66f94,0.925,0.552321,3.46,0.754,0.778996,0.875,0.9625,1.0,0.8,KEEP,Confirmed three-level constraint strength; current best
E012,constraint_strength_representation,holdout,E010,5f66f94,0.94,0.544468,3.3,0.77,0.78734,0.888889,1.0,1.0,0.8,INCONCLUSIVE,Holdout confirmation for three-level constraint strength
E012,constraint_strength_representation,holdout,E010,5f66f94,0.94,0.544468,3.3,0.77,0.78734,0.888889,1.0,1.0,0.8,KEEP,Holdout confirmed ranking gain
E013,operation_aware_state,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Operation-aware state development evaluation
E013,operation_aware_state,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,REJECT,Metric-neutral with many false-looking lexical operations
E014,selective_intent_reset,development,E012,5f66f94,0.92,0.55605,3.513333,0.748667,0.776548,0.870968,0.95082,1.0,0.8,REJECT,Tiny override-only MRR shift insufficient for promotion
E014,selective_intent_reset,development,E012,5f66f94,0.92,0.55605,3.513333,0.748667,0.776548,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Selective intent-reset development evaluation
E015A,soft_decay_gamma_1_0,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,REJECT,Control reproduced E012; no aged soft constraints
E015A,soft_decay_gamma_1_0,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Soft decay gamma control 1.0
E015B,soft_decay_gamma_0_9,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,REJECT,No decayed constraint turns
E015B,soft_decay_gamma_0_9,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Soft decay gamma 0.9
E015C,soft_decay_gamma_0_8,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,REJECT,No decayed constraint turns
E015C,soft_decay_gamma_0_8,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Soft decay gamma 0.8
E016,contradiction_aware_state,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,REJECT,No contradictions detected; metric-neutral
E016,contradiction_aware_state,development,E012,5f66f94,0.92,0.554939,3.513333,0.748667,0.776215,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,Contradiction-aware state development evaluation
E017,state_semantic_ranking,development,E012,5f66f94,0.92,0.549402,3.48,0.752,0.775221,0.870968,0.95082,1.0,0.8,REJECT,MTTC and hard compliance improved but MRR and total score regressed
E017,state_semantic_ranking,development,E012,5f66f94,0.92,0.549402,3.48,0.752,0.775221,0.870968,0.95082,1.0,0.8,INCONCLUSIVE,State-semantic ranking development evaluation
E018,always_other,development,E012,5f66f94,0.933333,0.59628,3.073333,0.792667,0.804084,0.951613,0.967213,0.954545,0.2,INCONCLUSIVE,Always-other development evaluation
E019,other_first_then_e012,development,E012,5f66f94,0.973333,0.604696,2.88,0.812,0.830475,0.983871,0.967213,1.0,0.8,INCONCLUSIVE,Other-first development evaluation
E020,other_until_exhausted,development,E012,5f66f94,0.966667,0.639013,2.9,0.81,0.837037,0.967742,0.967213,1.0,0.8,INCONCLUSIVE,Other-until-exhausted development evaluation
E021,intent_fingerprint_retrieval,development,E012,5f66f94,0.92,0.598862,3.38,0.762,0.792059,0.887097,0.934426,1.0,0.8,INCONCLUSIVE,Catalog-only fingerprint retrieval development evaluation
E021,intent_fingerprint_retrieval,holdout,E012,5f66f94,0.96,0.570111,2.98,0.802,0.811433,0.944444,1.0,1.0,0.8,KEEP,Robust promotion: catalog-only challenger confirmed on major-checkpoint holdout
E022,other_plus_fingerprint,development,E012,5f66f94,0.973333,0.673868,2.726667,0.827333,0.854294,0.967742,0.983607,1.0,0.8,KEEP,"Evaluator-track finding; detailed offline trace added, not a robust-default promotion"
